road_addr,building_x,building_y,entrance_x,entrance_y,floor_coun,building_c,x,y,near_r_x,near_r_y,near_rv_x,near_rv_y,dist_r_rv,reco_x,reco_y,reco_dist_m,reco_method
서울특별시 관악구 대학7길 52 휴게실,"950571.273007","1941064.915741","950528.820605","1941185.499077","1.0","11","950528.820605","1941185.499077","950527.169","1941192.351","950525.715","1941191.158","1.880",,,,
서울특별시 관악구 대학7길 53,"950539.928316","1941203.018417","950537.231148","1941198.401649","3.0","1","950537.231148","1941198.401649","950538.057","1941194.976","950537.223","1941197.081","2.260",,,,
서울특별시 관악구 대학길 6,"950284.104116","1941380.210423","950284.928177","1941384.697858","5.0","1","950284.928177","1941384.697858","950290.516","1941387.259","950286.569","1941385.611","4.280",,,,
서울특별시 관악구 대학길 16,"950295.858729","1941350.81906","950298.602756","1941347.220103","5.0","1","950298.602756","1941347.220103","950306.397","1941344.276","950304.377","1941345.568","2.400",,,,
서울특별시 관악구 대학길 17,"950320.139273","1941329.658563","950315.674389","1941333.782606","5.0","1","950315.674389","1941333.782606","950304.087","1941338.159","950305.002","1941338.243","0.920",,,,
서울특별시 관악구 대학길 18,"950292.304003","1941334.904762","950298.098829","1941334.923251","4.0","1","950298.098829","1941334.923251","950302.270","1941333.348","950299.965","1941334.279","2.490",,,,
서울특별시 관악구 대학길 21,"950306.644337","1941320.664209","950302.556396","1941316.82824","3.0","1","950302.556396","1941316.82824","950295.925","1941318.387","950297.867","1941318.650","1.960",,,,
서울특별시 관악구 대학길 22,"950286.33751","1941320.093626","950289.465286","1941319.306653","6.0","1","950289.465286","1941319.306653","950295.792","1941317.820","950294.857","1941318.335","1.070",,,,
서울특별시 관악구 대학길 23,"950305.279499","1941290.838385","950298.749261","1941301.054144","5.0","1","950298.749261","1941301.054144","950292.213","1941302.590","950293.759","1941302.367","1.560",,,,
서울특별시 관악구 대학길 26,"950279.336066","1941303.60836","950286.21899","1941301.085478","5.0","1","950286.21899","1941301.085478","950291.564","1941299.829","950290.065","1941299.394","1.560",,,,
서울특별시 관악구 대학길 30,"950275.357289","1941285.240188","950275.066074","1941282.014477","6.0","1","950275.066074","1941282.014477","950285.744","1941278.849","950283.592","1941278.798","2.150",,,,
서울특별시 관악구 대학길 31,"950294.980737","1941269.786167","950290.459764","1941269.038697","4.0","1","950290.459764","1941269.038697","950283.451","1941271.116","950284.550","1941271.471","1.150",,,,
서울특별시 관악구 대학길 35,"950287.142211","1941249.811348","950284.582935","1941250.913415","3.0","1","950284.582935","1941250.913415","950277.926","1941251.218","950278.760","1941253.201","2.150",,,,
서울특별시 관악구 대학길 36,"950266.538457","1941249.381516","950271.749488","1941245.791231","5.0","1","950271.749488","1941245.791231","950277.665","1941245.520","950274.375","1941246.571","3.450",,,,
서울특별시 관악구 대학길 37,"950288.651745","1941237.24895","950284.577233","1941236.04886","3.0","1","950284.577233","1941236.04886","950277.247","1941236.385","950276.999","1941238.235","1.870",,,,
서울특별시 관악구 대학길 39-4,"950302.600921","1941225.686442","950298.118249","1941226.595607","4.0","1","950298.118249","1941226.595607","950294.264","1941230.769","950276.615","1941229.917","17.670",,,,
서울특별시 관악구 대학길 39-5,"950296.504493","1941244.643849","950297.330317","1941239.774978","3.0","1","950297.330317","1941239.774978","950300.408","1941236.442","950297.450","1941259.745","23.490",,,,
서울특별시 관악구 대학길 39-6,"950311.674174","1941235.073985","950307.08075","1941235.616867","3.0","1","950307.08075","1941235.616867","950303.598","1941239.388","950299.855","1941259.731","20.680",,,,
서울특별시 관악구 대학길 39-8,"950318.031456","1941244.4708","950312.620029","1941245.682871","3.0","1","950312.620029","1941245.682871","950306.057","1941241.659","950311.904","1941262.654","21.790",,,,
서울특별시 관악구 대학길 41,"950292.217567","1941215.468214","950291.003429","1941219.907714","4.0","1","950291.003429","1941219.907714","950290.887","1941227.651","950276.222","1941219.996","16.540",,,,
서울특별시 관악구 대학길 42,"950266.486842","1941214.844956","950269.307817","1941214.711479","4.0","1","950269.307817","1941214.711479","950276.246","1941214.398","950273.182","1941214.688","3.080",,,,
